lon,lat,BMSB_PA2_RUN5 logistic values
-42.4584727725,83.2081937515,1.8203565E-9
-37.9584727905,83.2081937515,9.662859E-13
-34.7084728035,83.2081937515,9.662859E-13
-71.1251393245,83.1248604185,5.3939596E-11
-43.7084727675,83.1248604185,1.0932232E-13
-71.4584726565,82.9581937525,2.6427363E-10
-67.7918060045,82.7915270865,1.2399373E-12
-76.2084726375,82.7081937535,1.8203565E-9
-34.6251394705,82.7081937535,9.662859E-13
-71.8751393215,82.6248604205,1.2399373E-12
-43.4584727685,82.6248604205,9.662859E-13
-78.7918059605,82.5415270875,1.2656566E-12
-38.2084727895,82.5415270875,9.662859E-13
-33.3751394755,82.5415270875,1.2399373E-12
-24.4584728445,82.5415270875,6.6398793E-9
-51.0418060715,82.4581937545,3.2753918E-11
-38.2918061225,82.4581937545,9.662859E-13
-27.4584728325,82.4581937545,3.71496E-10
-47.2918060865,82.3748604215,9.662859E-13
-70.0418059955,82.2915270885,1.2399373E-12
-69.2918059985,82.2915270885,1.2399373E-12
-32.9584728105,82.2915270885,1.2399373E-12
-80.0418059555,82.2081937555,7.648515E-12
-39.5418061175,82.2081937555,9.662859E-13
-72.7084726515,82.1248604225,9.662859E-13
-74.8751393095,82.0415270895,9.662859E-13
-69.9584726625,82.0415270895,2.895076E-10
-47.3751394195,82.0415270895,1.8203565E-9
-44.4584727645,82.0415270895,3.792017E-10
-31.7084728155,82.0415270895,1.9282577E-12
-23.9584728465,82.0415270895,2.3358804E-9
-53.0418060635,81.8748604235,2.384332E-9
-32.2918061465,81.8748604235,1.9282577E-12
-24.7084728435,81.8748604235,6.6398793E-9
-15.6251395465,81.8748604235,6.686727E-11
-84.6251392705,81.7915270905,7.648515E-12
-59.6251393705,81.7915270905,1.6090889E-8
-36.2918061305,81.7915270905,9.662859E-13
-73.1251393165,81.7081937575,9.662859E-13
-34.7084728035,81.7081937575,1.2399373E-12
-20.6251395265,81.6248604245,7.160542E-12
-51.6251394025,81.5415270915,3.792017E-10
-50.2084727415,81.5415270915,3.6450007E-8
-60.7918060325,81.3748604255,2.384332E-9
-53.2084727295,81.3748604255,2.993942E-12
-24.5418061775,81.3748604255,1.2399373E-12
-40.7918061125,81.2915270925,1.2656566E-12
-89.7084725835,81.2081937595,1.4408804E-8
-51.9584727345,81.2081937595,6.7776065E-9
-51.7084727355,81.2081937595,1.6032594E-8
-42.2084727735,81.1248604265,1.2656566E-12
-41.7918061085,81.1248604265,1.2656566E-12
-21.0418061915,81.1248604265,5.376089E-11
-17.0418062075,81.1248604265,6.082326E-12
-89.2084725855,81.0415270935,4.0957886E-8
-26.2918061705,81.0415270935,3.71496E-10
