X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-79.48136,43.73165,train,0.0012484655843990821,68.94367607791472,0.6365034345008057
-75.776551,45.373622,train,0.001836014832384927,79.51544586854278,0.7202903052033176
-75.680891,45.42063,train,0.03232573904773288,100.0,0.9784199244561999
-75.688213,45.422608,train,0.03232573904773288,100.0,0.9784199244561999
-75.674159,45.428692,train,0.0018943056370616105,80.05123234714243,0.7265437495510763
-82.826214,42.032609,train,1.967589998401372E-4,12.819382265151281,0.21628118644968894
-81.276465,43.033674,train,9.503117769373166E-4,57.75639634296304,0.5713446835389476
-81.271716,43.039335,train,9.503117769373166E-4,57.75639634296304,0.5713446835389476
-81.271709,43.039336,train,9.503117769373166E-4,57.75639634296304,0.5713446835389476
-80.098996,43.200117,train,0.0018004131908458945,79.12623727654454,0.7163282780083912
-79.93,43.659508,train,9.463829396114715E-4,57.47509119612682,0.5703297645078271
-79.930001,43.659528,train,9.463829396114715E-4,57.47509119612682,0.5703297645078271
-77.31366,44.47759,train,1.0552433049437987E-4,6.817113492500371,0.12892367593450005
-77.31355,44.47814,train,1.0552433049437987E-4,6.817113492500371,0.12892367593450005
-79.948891,43.209446,train,0.0039034455008464153,92.33543692949463,0.8455561955474414
-80.028525,45.360545,train,2.5677519573408117E-6,0.22122374843654488,0.003588522347479854
-80.33864,42.703818,train,2.881576240243713E-4,19.25974372396095,0.2878307536343105
-79.947502,43.244571,train,0.0039034455008464153,92.33543692949463,0.8455561955474414
-79.47905,43.645953,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.384402,43.778808,train,0.0011499375312400387,65.71572260021796,0.6172784035553535
-79.714363,43.868195,train,4.507437499589303E-4,31.180416103994745,0.38732948500017184
-75.773497,45.383597,train,4.868983341033628E-4,33.1870651637506,0.4057904270769802
-75.703616,45.392898,train,0.0311416680085788,100.0,0.9776177701186728
-75.759138,45.401383,train,4.868983341033628E-4,33.1870651637506,0.4057904270769802
-75.673661,45.423178,train,0.0018943056370616105,80.05123234714243,0.7265437495510763
-123.141421,49.205878,train,0.0017975060877107108,79.08864434430673,0.7159997903859742
-122.73832,49.285508,train,0.00244637200844161,84.983951946234,0.7743276288415861
-82.880783,42.290792,train,0.0021015003450490424,82.39514522908826,0.7466749002696281
-82.207695,42.41137,train,9.790113806005818E-4,59.269660916160646,0.5786155551880863
-82.368778,42.972438,train,9.12396652306062E-4,55.6917850745777,0.5613454383651266
-79.407605,43.158095,train,0.00211670479639944,82.60029820882126,0.7480360666682109
-79.766138,43.358192,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-79.76442,43.36902,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-80.199927,43.49558,train,0.0011381628252009129,65.27998524380473,0.6148439943481625
-79.443545,43.640474,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.46775,43.644322,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.482012,43.646238,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.924747,43.64876,train,9.463829396114715E-4,57.47509119612682,0.5703297645078271
-79.411653,43.830575,train,0.0011499375312400387,65.71572260021796,0.6172784035553535
-79.411688,43.83058,train,0.0011499375312400387,65.71572260021796,0.6172784035553535
-79.43113,43.839203,train,0.0010040868073285883,60.184397842340296,0.5847693093525869
-79.431275,43.839458,train,0.0010040868073285883,60.184397842340296,0.5847693093525869
-77.461756,44.149853,train,6.768739226841575E-5,4.27746439181537,0.08670474197248919
-75.846847,45.248828,train,3.1573676310848303E-4,21.331226706591792,0.3069235237692848
-123.692532,48.777216,train,4.2908817139306597E-4,29.518508874117494,0.37571217709891935
-122.622038,49.16545,train,0.001313320945982372,70.63718992662868,0.6481377992723104
-122.637833,49.176513,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.780312,49.229053,train,0.00244637200844161,84.983951946234,0.7743276288415861
-122.899134,49.232002,train,0.0020586065844151263,81.37365710287132,0.742754375450581
-82.882485,42.283254,train,0.0021015003450490424,82.39514522908826,0.7466749002696281
-79.891803,43.233292,train,0.0039034455008464153,92.33543692949463,0.8455561955474414
-80.005661,43.264963,train,0.0020940730697550144,82.13223125754394,0.7460046184681423
-79.797455,43.406197,train,0.002410472784470606,84.84207959097246,0.7717338748401822
-79.475728,43.664456,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-122.300299,49.136314,train,2.20801355820562E-4,14.653936252946254,0.23645987896970144
-122.791572,49.294675,train,2.472804382527011E-4,16.390488127351787,0.257514462600087
-97.162043,49.869231,train,2.3173054019327206E-7,0.01651598988819672,3.2491219206525233E-4
-79.237463,43.163749,train,0.004838695330584273,94.97069462756154,0.8715742144324927
