Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.23096E-13,0.000000001,0.000000001,0.994770265,0,0
1.97015E-12,0.000000003,0.000000002,0.99302702,0,0
4.33811E-12,0.00000001,0.000000004,0.9900386,0,0
9.05909E-12,0.000000025,0.000000008,0.987299216,0,0
3.09465E-11,0.000000104,0.000000029,0.981944963,0,0
5.28651E-11,0.000000252,0.000000049,0.977586851,0,0
1.27763E-10,0.000001008,0.000000119,0.967127381,0,0
2.5367E-10,0.000002508,0.000000236,0.957664052,0,0
7.51897E-10,0.000010014,0.0000007,0.938114805,0,0
1.59586E-9,0.000025596,0.000001485,0.920931391,0,0
2.72674E-9,0.000050136,0.000002538,0.906736396,0.000148478,0
4.4119E-9,0.000100224,0.000004107,0.889054912,0.000148478,0
9.66714E-9,0.000253603,0.000008998,0.861785581,0.000445434,0
1.61533E-8,0.000500406,0.000015036,0.837380152,0.000445434,0
2.57608E-8,0.001010924,0.000023978,0.807495953,0.000445434,0
4.84181E-8,0.002501911,0.000045066,0.757315403,0.000445434,0
7.54754E-8,0.005028743,0.000070249,0.705640643,0.000890869,0
1.30625E-7,0.010003528,0.000121574,0.644751588,0.001781737,0
3.28898E-7,0.025002895,0.000306051,0.554227369,0.00237565,0
6.81845E-7,0.050019727,0.00063427,0.490100859,0.002821084,0
1.54122E-6,0.10121249,0.001432541,0.429709874,0.008463252,0
3.72552E-6,0.200021721,0.003455793,0.380400946,0.010690423,0
5.85259E-6,0.300052524,0.005418175,0.354003237,0.013363029,0
7.9274E-6,0.40013367,0.007324912,0.335823683,0.014402376,0
9.89781E-6,0.504740943,0.009128942,0.321255136,0.015887157,0
1.17487E-5,0.600953076,0.010817615,0.310173079,0.016926503,0
1.37227E-5,0.700067093,0.012612262,0.300460715,0.017817372,0
1.49149E-5,0.750577131,0.013692985,0.296102602,0.019302153,0
1.57953E-5,0.802499373,0.014489479,0.291869008,0.019896065,0
1.7447E-5,0.900530224,0.015980406,0.284522475,0.021232368,0
1.95355E-5,1.000557152,0.017859203,0.277798531,0.023608018,0
2.0881E-5,1.101480883,0.019065827,0.271572656,0.024795843,0
2.32607E-5,1.200776553,0.021192588,0.265969369,0.026429102,0
2.54877E-5,1.301382507,0.023174603,0.260864151,0.027468448,0
2.70145E-5,1.400462141,0.024528743,0.256132487,0.028507795,0
2.84318E-5,1.500798729,0.025782483,0.251649857,0.028953229,0
3.28306E-5,1.752835246,0.02965309,0.241314905,0.031031923,0
3.78093E-5,2.002779226,0.033997078,0.232474163,0.035634744,0
4.21431E-5,2.251578517,0.037746782,0.224754078,0.037416481,0
4.75162E-5,2.50267494,0.042355514,0.217656581,0.038158872,0
5.11337E-5,2.754266144,0.04543367,0.211430706,0.040534521,0
5.49337E-5,3.00301695,0.048645823,0.205578384,0.04216778,0
5.94785E-5,3.250310246,0.052459261,0.200224131,0.044394952,0
6.40895E-5,3.503037367,0.056297151,0.195118914,0.045879733,0
6.77717E-5,3.754703399,0.059339706,0.190387249,0.050334076,0
7.16483E-5,4.006082814,0.062521808,0.18590462,0.051967335,0
7.5662E-5,4.25635042,0.065793767,0.181671025,0.054491463,0
8.14941E-5,4.500383144,0.070507665,0.177810982,0.05701559,0
8.50146E-5,4.750569956,0.073330227,0.174075458,0.059688196,0
9.197E-5,5.009077838,0.078856587,0.17046445,0.062360802,0
9.79946E-5,5.255507261,0.083590325,0.167226995,0.068299926,0
1.02796E-4,5.50774569,0.087328481,0.164114058,0.070675575,0
1.07417E-4,5.76071611,0.0908972,0.161125638,0.073496659,0
1.10614E-4,6.001048442,0.093350134,0.158386253,0.076020787,0
1.156E-4,6.250416903,0.097148967,0.155646868,0.078693393,0
1.20475E-4,6.508845718,0.100832494,0.152907484,0.08121752,0
1.25384E-4,6.755481856,0.104511775,0.150417134,0.083296214,0
1.29145E-4,7.007951563,0.107310753,0.147926784,0.087899035,0
1.31625E-4,7.257611593,0.109146157,0.145560951,0.092056422,0
1.37865E-4,7.501700562,0.113731949,0.143319636,0.094877506,0
1.4287E-4,7.753408849,0.117376623,0.141078322,0.097401633,0
1.4788E-4,8.002683599,0.12099437,0.138961524,0.099034892,0
1.5259E-4,8.258770443,0.124369046,0.136844727,0.10081663,0
1.56592E-4,8.506268366,0.127215577,0.134852447,0.104380104,0
1.62044E-4,8.777182558,0.131064659,0.132735649,0.106458797,0
1.65249E-4,9.006961022,0.133310904,0.130992404,0.107498144,0
1.68541E-4,9.256862588,0.135606679,0.129124642,0.108982925,0
1.7342E-4,9.514680557,0.138986651,0.12725688,0.11017075,0
1.76922E-4,9.758452157,0.141396856,0.125513635,0.114625093,0
1.83607E-4,10.012247537,0.145959459,0.12377039,0.123830735,0
1.90965E-4,10.250540876,0.150925772,0.122151662,0.125612472,0
1.95972E-4,10.508176065,0.154272311,0.120532935,0.127245731,0
2.0023E-4,10.765843751,0.157097976,0.118914207,0.131700074,0
2.04943E-4,11.009028574,0.160203403,0.117419998,0.133778768,0
2.10323E-4,11.257940333,0.163720277,0.115925788,0.135708983,0
2.14253E-4,11.511039932,0.16627101,0.114431578,0.136154417,0
2.17274E-4,11.750287807,0.168220915,0.113061885,0.137936154,0
2.21627E-4,12.01343814,0.171014917,0.111567675,0.138678545,0
2.28382E-4,12.261992976,0.175313575,0.110197983,0.142242019,0
2.38395E-4,12.517232294,0.181604129,0.10882829,0.144469191,0
2.42421E-4,12.760154851,0.184106124,0.107583115,0.145211581,0
2.5004E-4,13.007414429,0.188799888,0.10633794,0.149072012,0
2.53536E-4,13.25923234,0.190935829,0.105092766,0.150705271,0
2.5915E-4,13.504241143,0.194342069,0.103847591,0.152041574,0
2.61945E-4,13.750885297,0.196026972,0.102726933,0.15233853,0
2.6806E-4,14.032223507,0.199689362,0.101357241,0.156050483,0
2.70261E-4,14.258165038,0.200999667,0.100361101,0.158129176,0
2.75562E-4,14.504193265,0.204137167,0.099240443,0.159168523,0
2.8083E-4,14.754499937,0.20723102,0.098119786,0.160801782,0
2.86281E-4,15.00961009,0.210407242,0.096999128,0.161989607,0
2.89593E-4,15.297780792,0.212324463,0.095753953,0.162731997,0
2.93746E-4,15.502470955,0.214715677,0.094882331,0.164959169,0
3.01606E-4,15.754166745,0.219201378,0.093761674,0.167780252,0
3.05452E-4,16.014483417,0.221377918,0.092765534,0.16956199,0
3.10644E-4,16.260099729,0.224296504,0.091769394,0.170155902,0
3.13436E-4,16.511270842,0.225857276,0.090773254,0.172383073,0
3.19589E-4,16.753922226,0.229274298,0.089777114,0.17654046,0
3.26862E-4,17.025287263,0.233275277,0.088780974,0.178470676,0
3.31537E-4,17.256301423,0.235824571,0.087909351,0.180549369,0
3.37639E-4,17.52368771,0.239127325,0.086913211,0.18203415,0
3.44232E-4,17.76162189,0.242663768,0.086041589,0.185300668,0
3.50435E-4,18.007544365,0.245960997,0.085169966,0.185894581,0
3.53467E-4,18.270444125,0.247561794,0.084173826,0.186340015,0
3.57544E-4,18.50332477,0.249704667,0.083426721,0.188715664,0
3.5925E-4,18.750921345,0.250597263,0.082555099,0.188864143,0
3.68118E-4,19.00859948,0.255204774,0.081683477,0.19450631,0
3.70429E-4,19.266777767,0.256395665,0.080811854,0.19450631,0
3.76738E-4,19.519177247,0.259629199,0.079940232,0.195842613,0
3.81911E-4,19.756136532,0.262259154,0.079193127,0.199406088,0
3.86242E-4,20.025547159,0.264446805,0.078321504,0.201336303,0
3.9283E-4,20.259540256,0.267749439,0.077574399,0.204305865,0
3.9785E-4,20.53633946,0.270246239,0.076702777,0.20623608,0
4.03774E-4,20.798820662,0.273171045,0.075831154,0.207572383,0
4.0771E-4,21.002088872,0.275101449,0.075208567,0.208166295,0
4.12027E-4,21.354592778,0.277206752,0.074087909,0.210838901,0
4.14952E-4,21.51496871,0.27862654,0.073714357,0.213956941,0
4.23108E-4,21.76651347,0.282555693,0.072967252,0.2155902,0
4.28206E-4,22.02200106,0.28498983,0.072220147,0.216184113,0
4.38631E-4,22.250875681,0.289916774,0.071473042,0.218708241,0
4.43161E-4,22.504146515,0.292036385,0.070850454,0.220044543,0
4.4524E-4,22.770919082,0.293005114,0.07010335,0.221232368,0
4.47812E-4,23.039065371,0.2941994,0.069356245,0.221529324,0
4.5075E-4,23.25239622,0.295559297,0.068733657,0.221974759,0
4.52457E-4,23.580212796,0.296347015,0.067862035,0.224795843,0
