lon,lat,BMSB_PA1_RUN5 logistic values
-29.5418061575,81.3748604255,4.149922E-10
-81.6251392825,81.2915270925,3.8007264E-10
-67.2084726735,81.2915270925,5.7204635E-10
-49.4584727445,81.2915270925,3.8007264E-10
-46.1251394245,81.2915270925,3.8007264E-10
-25.2084728415,81.2915270925,4.149922E-10
-82.3751392795,81.2081937595,3.8007264E-10
-22.4584728525,81.2081937595,4.149922E-10
-67.4584726725,81.1248604265,5.7204635E-10
-68.2084726695,81.0415270935,5.7204635E-10
-41.8751394415,81.0415270935,3.8007264E-10
-36.4584727965,81.0415270935,3.8007264E-10
-33.2084728095,81.0415270935,5.7204635E-10
-26.2918061705,81.0415270935,4.149922E-10
55.7081935015,81.0415270935,2.6886965E-11
55.5415268355,80.9581937605,2.6886965E-11
-93.7084725675,80.8748604275,3.8007264E-10
-36.6251394625,80.8748604275,5.7204635E-10
-20.1251395285,80.8748604275,4.149922E-10
93.7081933495,80.8748604275,5.7204635E-10
-49.2084727455,80.7915270945,3.8007264E-10
-79.1251392925,80.7081937615,3.8007264E-10
-59.7084727035,80.7081937615,3.8007264E-10
-93.3751392355,80.6248604285,3.8007264E-10
-48.2084727495,80.6248604285,3.8007264E-10
-29.2918061585,80.6248604285,4.149922E-10
-27.2084728335,80.6248604285,4.149922E-10
-35.2918061345,80.5415270955,5.7204635E-10
-19.9584728625,80.5415270955,6.6473715E-9
46.3748602055,80.5415270955,7.633423E-8
60.0415268175,80.5415270955,1.6268837E-7
61.7915268105,80.5415270955,7.633423E-8
-93.2084725695,80.4581937625,1.3553965E-9
-76.7918059685,80.4581937625,3.8007264E-10
-61.3751393635,80.4581937625,2.2292745E-8
-36.7918061285,80.4581937625,3.8007264E-10
-17.2084728735,80.4581937625,9.761882E-9
-40.9584727785,80.3748604295,3.8007264E-10
-19.2918061985,80.3748604295,6.6473715E-9
57.1248601625,80.3748604295,2.4022978E-7
-19.1251395325,80.2915270965,1.5067168E-7
18.1248603185,80.2915270965,3.342443E-9
-81.3751392835,80.2081937635,3.8007264E-10
-27.7918061645,80.2081937635,4.149922E-10
-23.7084728475,80.2081937635,6.6473715E-9
-94.3751392315,80.1248604305,1.3553965E-9
-72.0418059875,80.1248604305,3.8007264E-10
-38.9584727865,80.1248604305,3.8007264E-10
-81.2918059505,80.0415270975,3.8007264E-10
-55.5418060535,80.0415270975,3.8007264E-10
-50.2084727415,80.0415270975,3.8007264E-10
-85.0418059355,79.9581937645,2.2292745E-8
-81.7918059485,79.9581937645,2.2292745E-8
-78.4584726285,79.9581937645,3.8007264E-10
-57.2084727135,79.9581937645,3.8007264E-10
-18.2084728695,79.9581937645,1.5067168E-7
17.9581936525,79.9581937645,2.4022978E-7
51.1248601865,79.9581937645,3.706236E-11
-80.8751392855,79.8748604315,3.8007264E-10
-44.3751394315,79.7915270985,3.8007264E-10
17.5415269875,79.7081937655,2.51104E-6
98.9581933285,79.7081937655,2.6886965E-11
99.5415266595,79.7081937655,2.6886965E-11
-63.0418060235,79.6248604325,3.8007264E-10
99.7915266585,79.5415270995,2.6886965E-11
-74.8751393095,79.4581937665,2.2292745E-8
-61.4584726965,79.4581937665,3.8007264E-10
-43.3751394355,79.4581937665,3.8007264E-10
-37.9584727905,79.4581937665,3.8007264E-10
11.7915270105,79.4581937665,6.4997016E-6
-90.6251392465,79.3748604335,3.8007264E-10
-23.5418061815,79.3748604335,4.777632E-7
-62.6251393585,79.2915271005,3.8007264E-10
-48.7918060805,79.2915271005,3.8007264E-10
-47.6251394185,79.2915271005,3.8007264E-10
-32.6251394785,79.2915271005,5.7204635E-10
22.9581936325,79.2915271005,3.220714E-9
99.0415266615,79.2915271005,2.6886965E-11
-88.7084725875,79.2081937675,3.8007264E-10
-80.1251392885,79.2081937675,3.8007264E-10
-56.1251393845,79.2081937675,3.8007264E-10
-77.7084726315,79.1248604345,3.8007264E-10
-75.8751393055,79.1248604345,2.2292745E-8
-45.7084727595,79.1248604345,3.8007264E-10
-45.6251394265,79.1248604345,3.8007264E-10
18.1248603185,79.0415271015,1.1781947E-6
-50.6251394065,78.9581937685,3.8007264E-10
-34.1251394725,78.9581937685,1.6233994E-9
-28.0418061635,78.9581937685,4.149922E-10
-24.7918061765,78.9581937685,4.346017E-8
19.9581936445,78.9581937685,2.5790993E-7
-23.2084728495,78.8748604355,1.5067168E-7
-89.9584725825,78.7915271025,3.8007264E-10
-68.8751393335,78.7915271025,3.3552755E-8
-34.7918061365,78.7915271025,1.6233994E-9
-33.6251394745,78.7915271025,1.6233994E-9
-88.7084725875,78.7081937695,2.2292745E-8
-29.2084728255,78.7081937695,4.149922E-10
97.9581933325,78.7081937695,2.6886965E-11
-86.8751392615,78.6248604365,2.2292745E-8
-79.0418059595,78.6248604365,3.8007264E-10
-43.3751394355,78.5415271035,2.1538245E-9
-24.2084728455,78.5415271035,6.6473715E-9
-112.2918058265,78.4581937705,3.8007264E-10
-89.4584725845,78.4581937705,3.8007264E-10
-87.5418059255,78.4581937705,2.2292745E-8
-45.0418060955,78.4581937705,2.1538245E-9
-96.0418058915,78.3748604375,2.4624558E-11
-49.6251394105,78.3748604375,3.8007264E-10
100.5415266555,78.3748604375,5.7204635E-10
-72.7918059845,78.2915271045,2.1738522E-9
-70.7084726595,78.2915271045,5.7204635E-10
-22.2918061865,78.2915271045,4.777632E-7
-19.1251395325,78.2915271045,3.0953853E-8
-68.0418060035,78.2081937715,5.7204635E-10
-66.7918060085,78.2081937715,3.8007264E-10
-63.0418060235,78.2081937715,3.8007264E-10
-32.2918061465,78.2081937715,5.7204635E-10
-31.8751394815,78.2081937715,5.7204635E-10
-79.5418059575,78.1248604385,3.8007264E-10
-56.0418060515,78.1248604385,3.8007264E-10
-56.9584727145,78.0415271055,3.8007264E-10
-35.3751394675,78.0415271055,3.2417158E-9
-64.3751393515,77.9581937725,3.8007264E-10
-30.2918061545,77.9581937725,5.7204635E-10
-24.0418061795,77.9581937725,4.346017E-8
21.6248603045,77.9581937725,5.496739E-7
-81.4584726165,77.8748604395,3.8007264E-10
-81.1251392845,77.8748604395,3.8007264E-10
-45.4584727605,77.8748604395,2.1538245E-9
-35.3751394675,77.8748604395,3.2417158E-9
