Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.95597E-12,0.000000001,0.000000002,0.998635405,0,0
3.82498E-12,0.000000003,0.000000004,0.998015135,0,0
1.0002E-11,0.00000001,0.00000001,0.996526486,0,0
1.72921E-11,0.000000027,0.000000018,0.994913782,0,0
4.48472E-11,0.000000103,0.000000047,0.99181243,0,0
7.31701E-11,0.000000252,0.000000076,0.988587024,0,0
2.3566E-10,0.000001021,0.000000246,0.981515941,0,0
4.483E-10,0.000002516,0.000000467,0.975809453,0,0
1.22552E-9,0.000010143,0.000001277,0.964272423,0,0
2.32008E-9,0.000025178,0.000002418,0.953107555,0,0
3.72759E-9,0.00005015,0.000003885,0.943059174,0,0
5.60442E-9,0.000100374,0.000005841,0.929537278,0,0
1.03352E-8,0.000252935,0.000010772,0.906339164,0,0
1.67752E-8,0.000516684,0.000017484,0.882644833,0.000147362,0
2.63922E-8,0.001000333,0.000027507,0.854980772,0.000147362,0
5.01668E-8,0.002500102,0.000052285,0.804986974,0.000147362,0
7.96884E-8,0.005007435,0.00008305,0.756853988,0.000147362,0
1.29551E-7,0.010011176,0.000135009,0.695447215,0.000589449,0
3.00783E-7,0.025016156,0.000313399,0.604639623,0.000736811,0
6.18722E-7,0.050035693,0.000644458,0.532688252,0.001620984,0
1.44545E-6,0.100015374,0.00150428,0.468056072,0.003241969,0
3.07031E-6,0.200333978,0.003189881,0.409874705,0.008694371,0
4.73952E-6,0.300097501,0.004915568,0.377372534,0.010757442,0
6.60156E-6,0.400011163,0.006833581,0.355290907,0.013262599,0
8.56939E-6,0.500068863,0.008852542,0.338791713,0.014588859,0
1.02653E-5,0.600298189,0.010585916,0.325517926,0.015178308,0
1.18697E-5,0.701845219,0.01222025,0.31410495,0.015915119,0
1.25642E-5,0.750834011,0.012926006,0.309142786,0.016357206,0
1.35174E-5,0.801925878,0.01389298,0.304304677,0.017241379,0
1.52048E-5,0.900515209,0.015600268,0.295744945,0.018272915,0
1.70002E-5,1.000558445,0.017410282,0.288053591,0.020041261,0
1.92803E-5,1.101750414,0.019699407,0.281106562,0.020925435,0
2.13738E-5,1.201231862,0.021791782,0.275027912,0.02195697,0
2.321E-5,1.303096943,0.023619659,0.269321424,0.024462128,0
2.49151E-5,1.402043663,0.025310973,0.264235207,0.025641026,0
2.6231E-5,1.502007116,0.026612179,0.259397097,0.02593575,0
3.05482E-5,1.751952858,0.030856968,0.248480337,0.028293546,0
3.59174E-5,2.002408111,0.03608474,0.239052227,0.030356617,0
3.99821E-5,2.253098021,0.040004982,0.230864657,0.031830239,0
4.5897E-5,2.501556924,0.045653122,0.22366952,0.034040672,0
5.03682E-5,2.750000953,0.049878715,0.217218707,0.035809019,0
5.68661E-5,3.001760201,0.055953376,0.211388165,0.041998232,0
6.18838E-5,3.250235575,0.060591438,0.206177894,0.044356027,0
6.70806E-5,3.500721656,0.065347198,0.201339784,0.046124374,0
7.20502E-5,3.752086565,0.069850199,0.196873837,0.05054524,0
7.7275E-5,4.006375734,0.074537919,0.192655998,0.054229296,0
8.18166E-5,4.254016592,0.078574399,0.188810321,0.055260831,0
8.53276E-5,4.506945791,0.081670942,0.185088699,0.057029178,0
8.86377E-5,4.758013028,0.084571229,0.18149113,0.060123784,0
9.4014E-5,5.005726951,0.089243114,0.17814167,0.061302682,0
9.7737E-5,5.25580379,0.09245046,0.174916263,0.063071029,0
1.01596E-4,5.505470341,0.095751534,0.171814911,0.064544651,0
1.07592E-4,5.755876914,0.100832203,0.168837613,0.066165635,0
1.14527E-4,6.001692177,0.106639007,0.166108423,0.069997053,0
1.17304E-4,6.256889166,0.108942446,0.163379233,0.072060124,0
1.20737E-4,6.506667416,0.111774408,0.160774098,0.073239022,0
1.26375E-4,6.752574662,0.116386513,0.158293016,0.077217801,0
1.30344E-4,7.001193084,0.119605094,0.155811934,0.080165046,0
1.34898E-4,7.263352193,0.123268128,0.153454906,0.081638668,0
1.39877E-4,7.608585806,0.127238869,0.150353554,0.084291188,0
1.43511E-4,7.750786355,0.130114793,0.149113013,0.088122605,0
1.48724E-4,8.013238901,0.134206791,0.14688004,0.092543472,0
1.52496E-4,8.254572326,0.137144102,0.144895174,0.093869732,0
1.56453E-4,8.502665701,0.14020336,0.142910309,0.094606543,0
1.61417E-4,8.773684979,0.144011154,0.140801389,0.096816976,0
1.65451E-4,9.002407058,0.147080782,0.139064632,0.100353669,0
1.69371E-4,9.253454707,0.150043298,0.137203821,0.105511347,0
1.73786E-4,9.506171129,0.153354605,0.13534301,0.107427056,0
1.76783E-4,9.757138792,0.155587866,0.133606252,0.108605953,0
1.81381E-4,10.008868553,0.15899084,0.131745441,0.109637489,0
1.85292E-4,10.265694636,0.161864444,0.130132738,0.111111111,0
1.91299E-4,10.508797486,0.166239272,0.128520035,0.112437371,0
1.97415E-4,10.757981927,0.170647228,0.126907332,0.114500442,0
2.02755E-4,11.022658773,0.174457535,0.125294628,0.119805482,0
2.06439E-4,11.26785303,0.177066548,0.123805979,0.121868553,0
2.13157E-4,11.518152135,0.18178074,0.12231733,0.123047451,0
2.20864E-4,11.869482163,0.187123513,0.120332465,0.13100501,0
2.22943E-4,12.002768147,0.188553382,0.11958814,0.133510168,0
2.26422E-4,12.250219363,0.190933669,0.118223545,0.137046861,0
2.32894E-4,12.501641244,0.195325458,0.116858951,0.138078397,0
2.35028E-4,12.760865109,0.196762592,0.115494356,0.138667846,0
2.41378E-4,13.023199397,0.201010017,0.114129761,0.140730917,0
2.46856E-4,13.266835233,0.204638678,0.11288922,0.141762452,0
2.52099E-4,13.508149241,0.208080328,0.111648679,0.145888594,0
2.56053E-4,13.78481335,0.210656994,0.110284084,0.147214854,0
2.6069E-4,14.003846227,0.213656277,0.109291651,0.150162098,0
2.63623E-4,14.266121017,0.215542245,0.10805111,0.151635721,0
2.68335E-4,14.505176547,0.21855272,0.106934623,0.152961981,0
2.73128E-4,14.776544079,0.221591561,0.105694083,0.156056587,0
2.78924E-4,15.025863646,0.225234641,0.104577596,0.1622458,0
2.82738E-4,15.25068514,0.227613743,0.103585163,0.164603596,0
2.87599E-4,15.507047026,0.230624558,0.102468676,0.167698202,0
2.91138E-4,15.767603203,0.232801948,0.10135219,0.168140289,0
2.94148E-4,16.001908964,0.234643541,0.100359757,0.168435013,0
2.97452E-4,16.25228654,0.236655724,0.09924327,0.169613911,0
3.03302E-4,16.539146161,0.240192207,0.098126783,0.171382258,0
3.08589E-4,16.75358107,0.243360318,0.097258405,0.172266431,0
3.12432E-4,17.001824135,0.245646105,0.096265972,0.173592691,0
3.15865E-4,17.253482189,0.247677169,0.095273539,0.174624226,0
3.19521E-4,17.508098156,0.249827332,0.094281107,0.175213675,0
3.25828E-4,17.765907122,0.253508364,0.093288674,0.176245211,0
3.35824E-4,18.031577522,0.259269338,0.092296241,0.199675803,0
3.37806E-4,18.26736991,0.260401002,0.091427863,0.201149425,0
3.44839E-4,18.506289828,0.26438946,0.090559484,0.201591512,0
3.484E-4,18.783506312,0.266392277,0.089567051,0.202475685,0
3.53962E-4,19.018652433,0.269499057,0.088698673,0.203507221,0
3.60632E-4,19.280921286,0.273189967,0.087830294,0.208370174,0
3.6961E-4,19.538090752,0.27809985,0.086961915,0.209696434,0
3.7466E-4,19.755166958,0.280832069,0.086217591,0.210875332,0
3.7771E-4,20.024776944,0.282472472,0.085349212,0.211022694,0
3.80477E-4,20.2519687,0.283954538,0.084604888,0.212054229,0
3.90122E-4,20.523173204,0.289072008,0.083736509,0.213527851,0
3.91766E-4,20.757764802,0.289936795,0.082992185,0.2141173,0
3.94049E-4,21.028543775,0.291134403,0.082123806,0.215738285,0
3.96661E-4,21.269593978,0.292499922,0.081379481,0.217506631,0
4.02733E-4,21.509704752,0.295653432,0.080635157,0.219569702,0
4.06463E-4,21.793520685,0.297576996,0.079642724,0.220453876,0
4.09406E-4,22.038324756,0.299087046,0.079022454,0.221043324,0
4.22281E-4,22.260803946,0.305618162,0.078278129,0.224137931,0
4.25684E-4,22.500831402,0.307324427,0.077657859,0.225316829,0
4.28022E-4,22.971227004,0.308491666,0.076293264,0.226790451,0
4.28696E-4,23.014096602,0.308827239,0.07616921,0.226790451,0
4.34045E-4,23.273349358,0.311480338,0.075424885,0.2273799,0
4.41794E-4,23.530996956,0.315288105,0.074680561,0.228264073,0
4.46737E-4,23.758764901,0.317694758,0.07406029,0.231063955,0
4.48286E-4,24.002097011,0.318445512,0.073315966,0.232095491,0
4.5799E-4,24.254561662,0.323111625,0.072695695,0.2340112,0
4.65732E-4,24.506237735,0.326788734,0.071951371,0.234305924,0
4.74363E-4,24.768980666,0.330841384,0.0713311,0.236074271,0
4.79671E-4,25.007899209,0.333309301,0.07071083,0.238284704,0
4.8208E-4,25.296590403,0.33442358,0.069966505,0.239463602,0
4.86192E-4,25.539292042,0.336316822,0.069346235,0.242558208,0
4.94781E-4,25.784396764,0.340236366,0.068725965,0.243442381,0
4.97542E-4,26.006218734,0.341486675,0.068105694,0.244473917,0
5.01547E-4,26.282512235,0.343291741,0.067485424,0.245800177,0
5.05055E-4,26.534628504,0.344864795,0.066865153,0.245947539,0
5.06998E-4,26.773156678,0.345733214,0.066244883,0.246536988,0
5.15714E-4,27.008822529,0.349598611,0.065624612,0.247715886,0
5.21472E-4,27.253166949,0.352127624,0.065128396,0.248894783,0
5.27017E-4,27.509981745,0.354544301,0.064508126,0.249778957,0
5.31886E-4,27.803763809,0.356651606,0.063763801,0.252578839,0
