lon,lat,BMSB_PA2_RUN2 logistic values
93.7915266825,47.8748605595,0.0020785762
94.1248600145,47.8748605595,0.0020785762
96.9581933365,47.8748605595,8.2345605E-6
99.4581933265,47.8748605595,8.2345605E-6
99.7081933255,47.8748605595,8.2345605E-6
101.2081933195,47.8748605595,8.2345605E-6
101.4581933185,47.8748605595,8.2345605E-6
101.7915266505,47.8748605595,8.2345605E-6
102.6248599805,47.8748605595,8.2345605E-6
103.0415266455,47.8748605595,8.2345605E-6
105.2081933035,47.8748605595,8.780568E-8
107.0415266295,47.8748605595,8.780568E-8
107.9581932925,47.8748605595,8.780568E-8
111.3748599455,47.8748605595,8.780568E-8
112.8748599395,47.8748605595,7.046768E-6
115.9581932605,47.8748605595,1.5553194E-5
116.5415265915,47.8748605595,1.5553194E-5
119.5415265795,47.8748605595,8.780568E-8
121.8748599035,47.8748605595,8.780568E-8
124.4581932265,47.8748605595,1.5553194E-5
124.9581932245,47.8748605595,1.5553194E-5
126.3748598855,47.8748605595,2.7492438E-6
126.6248598845,47.8748605595,2.7492438E-6
128.4581932105,47.8748605595,1.986717E-6
130.9581932005,47.8748605595,2.7492438E-6
131.8748598635,47.8748605595,2.7492438E-6
132.2915265285,47.8748605595,2.7492438E-6
133.8748598555,47.8748605595,5.47412E-5
136.6248598445,47.8748605595,6.541453E-8
136.7915265105,47.8748605595,8.020777E-9
96.2915266725,47.7915272265,8.2345605E-6
97.2081933355,47.7915272265,8.2345605E-6
99.4581933265,47.7915272265,8.2345605E-6
100.7081933215,47.7915272265,8.2345605E-6
103.5415266435,47.7915272265,6.6043105E-4
109.3748599535,47.7915272265,8.780568E-8
111.0415266135,47.7915272265,8.780568E-8
111.3748599455,47.7915272265,8.780568E-8
113.0415266055,47.7915272265,8.780568E-8
114.1248599345,47.7915272265,8.780568E-8
115.2081932635,47.7915272265,1.5553194E-5
115.8748599275,47.7915272265,1.5553194E-5
117.8748599195,47.7915272265,1.5553194E-5
118.2915265845,47.7915272265,7.046768E-6
119.2081932475,47.7915272265,7.046768E-6
127.3748598815,47.7915272265,2.7492438E-6
128.6248598765,47.7915272265,1.986717E-6
132.2915265285,47.7915272265,2.7492438E-6
132.3748598615,47.7915272265,2.7492438E-6
133.2915265245,47.7915272265,5.47412E-5
133.4581931905,47.7915272265,5.47412E-5
133.6248598565,47.7915272265,5.47412E-5
137.5415265075,47.7915272265,1.4229322E-7
137.8748598395,47.7915272265,8.921306E-8
142.2081931555,47.7915272265,0.0014292349
142.2915264885,47.7915272265,0.0014292349
93.7915266825,47.7081938935,0.0014565141
103.4581933105,47.7081938935,8.2345605E-6
104.3748599735,47.7081938935,9.4281527E-4
105.5415266355,47.7081938935,8.780568E-8
109.2915266205,47.7081938935,8.780568E-8
111.0415266135,47.7081938935,8.780568E-8
112.1248599425,47.7081938935,8.780568E-8
112.4581932745,47.7081938935,7.046768E-6
113.5415266035,47.7081938935,8.780568E-8
115.4581932625,47.7081938935,1.5553194E-5
117.0415265895,47.7081938935,1.5553194E-5
118.7081932495,47.7081938935,7.046768E-6
118.8748599155,47.7081938935,7.046768E-6
120.2915265765,47.7081938935,8.780568E-8
124.1248598945,47.7081938935,1.5553194E-5
125.2081932235,47.7081938935,1.5553194E-5
127.1248598825,47.7081938935,2.7492438E-6
129.0415265415,47.7081938935,1.2456056E-6
130.0415265375,47.7081938935,7.046768E-6
130.6248598685,47.7081938935,2.4806837E-5
132.2081931955,47.7081938935,2.7492438E-6
133.2915265245,47.7081938935,2.7492438E-6
133.8748598555,47.7081938935,5.47412E-5
136.2915265125,47.7081938935,1.0082074E-6
93.5415266835,47.6248605605,0.0014565141
96.7081933375,47.6248605605,8.2345605E-6
100.5415266555,47.6248605605,8.2345605E-6
100.6248599885,47.6248605605,8.2345605E-6
100.7915266545,47.6248605605,8.2345605E-6
102.7081933135,47.6248605605,8.2345605E-6
105.4581933025,47.6248605605,2.815092E-6
108.5415266235,47.6248605605,8.780568E-8
110.0415266175,47.6248605605,8.780568E-8
111.4581932785,47.6248605605,8.780568E-8
111.6248599445,47.6248605605,8.780568E-8
113.2081932715,47.6248605605,8.780568E-8
115.7081932615,47.6248605605,1.5553194E-5
115.8748599275,47.6248605605,1.5553194E-5
116.4581932585,47.6248605605,1.5553194E-5
117.2081932555,47.6248605605,1.5553194E-5
122.3748599015,47.6248605605,1.5553194E-5
122.9581932325,47.6248605605,1.5553194E-5
123.2081932315,47.6248605605,1.5553194E-5
123.3748598975,47.6248605605,1.5553194E-5
125.3748598895,47.6248605605,2.7492438E-6
125.7915265545,47.6248605605,2.7492438E-6
126.1248598865,47.6248605605,2.7492438E-6
129.2915265405,47.6248605605,7.046768E-6
130.8748598675,47.6248605605,1.5553194E-5
131.1248598665,47.6248605605,1.5553194E-5
131.7915265305,47.6248605605,2.7492438E-6
132.8748598595,47.6248605605,2.7492438E-6
135.5415265155,47.6248605605,4.923547E-5
93.5415266835,47.5415272275,0.0014565141
93.7081933495,47.5415272275,0.0014565141
99.0415266615,47.5415272275,8.2345605E-6
100.1248599905,47.5415272275,8.2345605E-6
100.2081933235,47.5415272275,8.2345605E-6
100.7081933215,47.5415272275,8.2345605E-6
103.4581933105,47.5415272275,8.2345605E-6
103.7081933095,47.5415272275,8.2345605E-6
104.2081933075,47.5415272275,1.175874E-5
105.3748599695,47.5415272275,2.815092E-6
107.4581932945,47.5415272275,8.780568E-8
