lon,lat,BMSB_PA1_RUN1 logistic values
-7.9584729105,71.1248604665,0.012746119
24.6248602925,71.0415271335,0.030602459
24.9581936245,71.0415271335,0.044590294
27.5415269475,71.0415271335,0.012746119
23.7081936295,70.9581938005,0.044590294
24.2081936275,70.9581938005,0.044590294
25.4581936225,70.9581938005,0.018729836
25.5415269555,70.9581938005,0.018729836
25.8748602875,70.9581938005,0.044590294
26.4581936185,70.9581938005,0.030602459
27.2081936155,70.9581938005,0.018729836
22.7915269665,70.8748604675,0.030602459
24.2915269605,70.8748604675,0.044590294
24.3748602935,70.8748604675,0.044590294
25.8748602875,70.8748604675,0.044590294
26.6248602845,70.8748604675,0.018729836
-8.9584729065,70.7915271345,0.012746119
26.6248602845,70.7915271345,0.018729836
28.9581936085,70.7915271345,0.018729836
23.0415269655,70.7081938015,0.030602459
24.3748602935,70.7081938015,0.044590294
28.7081936095,70.7081938015,0.018729836
28.8748602755,70.7081938015,0.012746119
29.7081936055,70.7081938015,0.018729836
30.2081936035,70.7081938015,0.013499065
23.2081936315,70.6248604685,0.044590294
27.4581936145,70.6248604685,0.009722457
24.2081936275,70.5415271355,0.044590294
24.2915269605,70.5415271355,0.044590294
26.7915269505,70.5415271355,0.011596631
22.1248603025,70.4581938025,0.029591648
23.5415269635,70.4581938025,0.044590294
23.7915269625,70.4581938025,0.044590294
25.2081936235,70.4581938025,0.010479246
28.1248602785,70.4581938025,0.025675872
29.5415269395,70.4581938025,0.013403977
29.7915269385,70.4581938025,0.013093689
22.9581936325,70.3748604695,0.044590294
26.5415269515,70.3748604695,0.018455273
26.7081936175,70.3748604695,0.0017086254
29.0415269415,70.3748604695,8.484942E-4
29.3748602735,70.3748604695,0.009170832
30.2915269365,70.3748604695,0.013499065
30.3748602695,70.3748604695,0.030046232
22.1248603025,70.2915271365,0.044590294
22.7915269665,70.2915271365,0.044590294
24.5415269595,70.2915271365,0.0019921958
24.7081936255,70.2915271365,3.8399553E-4
27.8748602795,70.2915271365,0.006656965
29.7081936055,70.2915271365,0.018170273
30.4581936025,70.2915271365,0.013499065
22.1248603025,70.2081938035,0.018729836
23.2081936315,70.2081938035,0.044590294
24.1248602945,70.2081938035,0.013499065
24.2081936275,70.2081938035,0.013499065
26.3748602855,70.2081938035,9.4853214E-4
26.4581936185,70.2081938035,9.4853214E-4
29.2915269405,70.2081938035,0.03263007
29.8748602715,70.2081938035,0.0011831574
30.2915269365,70.2081938035,0.044901483
