lon,lat,BMSB_PA1_RUN3 logistic values
-32.4584728125,83.5415270835,3.4154181E-12
-32.2918061465,83.2915270845,3.4154181E-12
-31.7918061485,83.2081937515,3.4154181E-12
-41.7918061085,83.1248604185,1.0902855E-12
-75.0418059755,83.0415270855,3.4154181E-12
-46.9584727545,83.0415270855,1.0902855E-12
-28.2918061625,83.0415270855,2.3414632E-12
-74.1251393125,82.9581937525,3.4154181E-12
-32.6251394785,82.9581937525,3.4154181E-12
-30.4584728205,82.9581937525,3.4154181E-12
-28.5418061615,82.9581937525,2.3414632E-12
-42.9584727705,82.8748604195,1.0902855E-12
-80.8751392855,82.7915270865,1.0902855E-12
-75.5418059735,82.7915270865,3.4154181E-12
-45.3751394275,82.7915270865,1.0902855E-12
-37.7918061245,82.7915270865,1.0902855E-12
-75.2918059745,82.7081937535,3.4154181E-12
-64.4584726845,82.7081937535,3.4154181E-12
-50.5418060735,82.5415270875,1.0902855E-12
-69.0418059995,82.4581937545,3.4154181E-12
-81.2084726175,82.3748604215,1.0902855E-12
-77.2918059665,82.3748604215,1.0902855E-12
-73.5418059815,82.3748604215,3.4154181E-12
-68.2084726695,82.3748604215,1.5976968E-11
-51.6251394025,82.3748604215,1.0902855E-12
-51.3751394035,82.3748604215,1.0902855E-12
-46.3751394235,82.3748604215,1.0902855E-12
-45.2918060945,82.3748604215,2.4122095E-11
-40.7084727795,82.3748604215,5.1002414E-12
-66.5418060095,82.2915270885,1.5976968E-11
-43.3751394355,82.2915270885,1.0902855E-12
-69.0418059995,82.2081937555,1.5976968E-11
-36.9584727945,82.2081937555,1.0902855E-12
-31.7918061485,82.2081937555,6.367116E-11
-86.5418059295,82.1248604225,1.0902855E-12
-38.1251394565,82.1248604225,1.0902855E-12
-65.4584726805,82.0415270895,3.4154181E-12
-63.6251393545,82.0415270895,3.4154181E-12
-48.5418060815,82.0415270895,5.1002414E-12
-27.8751394975,82.0415270895,6.367116E-11
-87.8751392575,81.9581937565,1.0902855E-12
-70.8751393255,81.9581937565,5.1002414E-12
-52.7918060645,81.9581937565,1.0902855E-12
-50.4584727405,81.9581937565,1.0902855E-12
-37.9584727905,81.9581937565,1.0902855E-12
-75.3751393075,81.8748604235,1.0902855E-12
-68.2918060025,81.8748604235,9.2875097E-11
-40.9584727785,81.8748604235,1.0902855E-12
-15.2084728815,81.7915270905,1.7457767E-9
-55.1251393885,81.7081937575,5.1002414E-12
-53.3751393955,81.7081937575,5.1002414E-12
-91.7084725755,81.6248604245,1.0902855E-12
-88.0418059235,81.6248604245,1.0902855E-12
-51.1251394045,81.6248604245,5.6104427E-10
-40.7918061125,81.6248604245,1.0902855E-12
-32.1251394805,81.6248604245,6.367116E-11
-72.2918059865,81.5415270915,5.1002414E-12
-17.7918062045,81.5415270915,2.9244973E-10
-74.4584726445,81.4581937585,1.0902855E-12
-59.7084727035,81.4581937585,5.1002414E-12
-49.5418060775,81.4581937585,5.1002414E-12
59.0415268215,81.4581937585,1.2157511E-7
-64.5418060175,81.3748604255,2.575691E-10
-53.6251393945,81.3748604255,5.1002414E-12
-29.5418061575,81.3748604255,1.09531195E-11
-21.5418061895,81.3748604255,2.3414632E-12
-67.2084726735,81.2915270925,2.3414632E-12
-49.4584727445,81.2915270925,5.1002414E-12
-46.1251394245,81.2915270925,1.0902855E-12
-25.2084728415,81.2915270925,2.3414632E-12
-86.0418059315,81.2081937595,1.0902855E-12
-72.7084726515,81.2081937595,1.0902855E-12
-22.4584728525,81.2081937595,2.3414632E-12
-67.4584726725,81.1248604265,2.3414632E-12
-33.2084728095,81.0415270935,2.3414632E-12
-26.2918061705,81.0415270935,2.3414632E-12
55.7081935015,81.0415270935,1.397735E-11
55.5415268355,80.9581937605,1.397735E-11
58.4581934905,80.8748604275,3.0238132E-7
93.7081933495,80.8748604275,3.4154181E-12
-83.3751392755,80.7915270945,1.0902855E-12
-81.3751392835,80.7915270945,1.0902855E-12
-49.2084727455,80.7915270945,1.0902855E-12
-79.1251392925,80.7081937615,1.0902855E-12
-59.7084727035,80.7081937615,5.1002414E-12
-29.2918061585,80.6248604285,2.3414632E-12
-27.2084728335,80.6248604285,2.3414632E-12
-35.2918061345,80.5415270955,1.5976968E-11
46.3748602055,80.5415270955,1.346265E-8
60.0415268175,80.5415270955,3.730139E-8
61.7915268105,80.5415270955,1.6285691E-8
-76.7918059685,80.4581937625,1.0902855E-12
-17.2084728735,80.4581937625,1.8015155E-9
-40.9584727785,80.3748604295,1.0902855E-12
-28.7918061605,80.3748604295,2.3414632E-12
57.1248601625,80.3748604295,1.666552E-8
58.3748601575,80.2915270965,1.6285691E-8
-81.3751392835,80.2081937635,1.0902855E-12
-23.7084728475,80.2081937635,1.0100968E-11
-94.3751392315,80.1248604305,7.974119E-15
-72.0418059875,80.1248604305,1.0902855E-12
96.7915266705,80.1248604305,3.4154181E-12
-81.2918059505,80.0415270975,1.0902855E-12
-55.5418060535,80.0415270975,1.0902855E-12
56.2915268325,80.0415270975,2.1118562E-9
-85.0418059355,79.9581937645,1.199352E-10
-81.7918059485,79.9581937645,1.199352E-10
-78.4584726285,79.9581937645,1.0902855E-12
-41.8751394415,79.9581937645,5.1002414E-12
-18.2084728695,79.9581937645,2.8697178E-11
51.1248601865,79.9581937645,2.3414632E-12
-80.8751392855,79.8748604315,1.0902855E-12
-44.3751394315,79.7915270985,5.1002414E-12
16.2081936595,79.7915270985,4.199103E-9
16.2915269925,79.7915270985,1.8670237E-7
13.8748603355,79.7081937655,1.6806426E-9
16.1248603265,79.7081937655,9.733766E-10
98.9581933285,79.7081937655,1.397735E-11
99.5415266595,79.7081937655,1.397735E-11
