X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-79.48136,43.73165,train,0.014372588683877783,84.38724627535551,0.7593096652598943
-75.776551,45.373622,train,0.016259120316382318,88.8544405159486,0.7811241915171362
-75.680891,45.42063,train,0.0338085508088999,100.0,0.8812467044803277
-75.688213,45.422608,train,0.0338085508088999,100.0,0.8812467044803277
-75.674159,45.428692,train,0.0338085508088999,100.0,0.8812467044803277
-82.826214,42.032609,train,0.011712119184092408,76.62477483803646,0.719947216428175
-81.299095,42.954168,train,0.026636336451510208,100.0,0.8539410658283597
-81.291885,42.99549,train,0.026636336451510208,100.0,0.8539410658283597
-81.276465,43.033674,train,0.08987459510742021,100.0,0.9517538761565612
-81.271716,43.039335,train,0.08987459510742021,100.0,0.9517538761565612
-81.271709,43.039336,train,0.08987459510742021,100.0,0.9517538761565612
-80.098996,43.200117,train,50.93378969366839,100.0,0.9999105603925739
-79.93,43.659508,train,0.010449608095346502,72.99290581785478,0.6963845613210901
-79.930001,43.659528,train,0.010449608095346502,72.99290581785478,0.6963845613210901
-77.31366,44.47759,train,3.3670174024425675E-4,4.770940431685079,0.06881846723740578
-77.31355,44.47814,train,3.3670174024425675E-4,4.770940431685079,0.06881846723740578
-121.940237,49.105287,train,0.0016592652325779108,17.885512585332524,0.26697017159701086
-81.260952,42.990749,train,0.026636336451510208,100.0,0.8539410658283597
-79.948891,43.209446,train,50.93378969366839,100.0,0.9999105603925739
-80.028525,45.360545,train,2.4086338347700425E-5,0.47628392747182297,0.005259035058710637
-80.33864,42.703818,train,2.86428879052041E-4,4.004845038246968,0.05915098973836833
-79.947502,43.244571,train,50.93378969366839,100.0,0.9999105603925739
-79.47905,43.645953,train,0.5864194201358108,100.0,0.9922908699658365
-79.384402,43.778808,train,0.02703984368244113,100.0,0.855806374844813
-79.714363,43.868195,train,8.970685763822157E-4,10.7222425328614,0.1645099613314494
-75.773497,45.383597,train,0.016259120316382318,88.8544405159486,0.7811241915171362
-75.703616,45.392898,train,0.011051902568328553,74.21205969854852,0.708100870124066
-75.759138,45.401383,train,0.016259120316382318,88.8544405159486,0.7811241915171362
-75.673661,45.423178,train,0.0338085508088999,100.0,0.8812467044803277
-123.141421,49.205878,train,8.578570077805855E-5,1.5113631089686268,0.018481560837009647
-82.880783,42.290792,train,0.04573160233693705,100.0,0.9094028354709955
-82.368778,42.972438,train,0.10314629948040356,100.0,0.9576990496292515
-81.268292,43.010393,train,0.08987459510742021,100.0,0.9517538761565612
-79.407605,43.158095,train,73.42034821428945,100.0,0.9999379514935982
-79.766138,43.358192,train,11.610449809278894,100.0,0.9996077569184931
-79.76442,43.36902,train,11.610449809278894,100.0,0.9996077569184931
-80.199927,43.49558,train,0.2718631159207152,100.0,0.9835181182260078
-79.443545,43.640474,train,0.5864194201358108,100.0,0.9922908699658365
-79.46775,43.644322,train,0.5864194201358108,100.0,0.9922908699658365
-79.482012,43.646238,train,0.5864194201358108,100.0,0.9922908699658365
-79.924747,43.64876,train,0.010449608095346502,72.99290581785478,0.6963845613210901
