lon,lat,BMSB_PA1_RUN1 logistic values
-32.4584728125,83.5415270835,1.15884975E-14
-32.2918061465,83.2915270845,1.15884975E-14
-31.7918061485,83.2081937515,1.15884975E-14
-41.7918061085,83.1248604185,3.653725E-15
-75.0418059755,83.0415270855,5.752558E-14
-46.9584727545,83.0415270855,3.653725E-15
-28.2918061625,83.0415270855,3.880136E-15
-74.1251393125,82.9581937525,5.752558E-14
-32.6251394785,82.9581937525,1.15884975E-14
-30.4584728205,82.9581937525,1.15884975E-14
-28.5418061615,82.9581937525,2.308462E-15
-42.9584727705,82.8748604195,3.653725E-15
-80.8751392855,82.7915270865,6.567294E-14
-75.5418059735,82.7915270865,1.15884975E-14
-45.3751394275,82.7915270865,1.813718E-14
-37.7918061245,82.7915270865,3.653725E-15
-75.2918059745,82.7081937535,1.15884975E-14
-67.5418060055,82.6248604205,3.880136E-15
-50.5418060735,82.5415270875,1.813718E-14
-69.0418059995,82.4581937545,1.15884975E-14
-41.8751394415,82.4581937545,3.653725E-15
-81.2084726175,82.3748604215,3.653725E-15
-73.5418059815,82.3748604215,1.15884975E-14
-68.2084726695,82.3748604215,2.0829447E-13
-51.6251394025,82.3748604215,3.653725E-15
-51.3751394035,82.3748604215,3.653725E-15
-46.3751394235,82.3748604215,3.653725E-15
-45.2918060945,82.3748604215,1.813718E-14
-40.7084727795,82.3748604215,3.653725E-15
-78.3751392955,82.2915270885,3.653725E-15
-66.5418060095,82.2915270885,1.15884975E-14
-43.3751394355,82.2915270885,3.653725E-15
-69.0418059995,82.2081937555,1.15884975E-14
-36.9584727945,82.2081937555,3.653725E-15
-33.1251394765,82.2081937555,2.0829447E-13
-31.7918061485,82.2081937555,1.1433279E-14
-86.5418059295,82.1248604225,3.653725E-15
-38.1251394565,82.1248604225,3.653725E-15
-65.4584726805,82.0415270895,1.15884975E-14
-63.6251393545,82.0415270895,9.195836E-15
-48.5418060815,82.0415270895,1.813718E-14
-27.8751394975,82.0415270895,1.2226361E-13
-87.8751392575,81.9581937565,6.567294E-14
-84.7084726035,81.9581937565,1.813718E-14
-70.8751393255,81.9581937565,5.5543995E-15
-52.7918060645,81.9581937565,6.567294E-14
-50.4584727405,81.9581937565,3.653725E-15
-37.9584727905,81.9581937565,3.653725E-15
-75.3751393075,81.8748604235,3.653725E-15
-68.2918060025,81.8748604235,5.752558E-14
-40.9584727785,81.8748604235,3.653725E-15
-33.7084728075,81.8748604235,3.880136E-15
-15.2084728815,81.7915270905,1.3695012E-10
-67.1251393405,81.7081937575,2.0829447E-13
-55.1251393885,81.7081937575,6.567294E-14
-53.3751393955,81.7081937575,1.813718E-14
-32.9584728105,81.7081937575,2.308462E-15
-88.0418059235,81.6248604245,6.567294E-14
-51.1251394045,81.6248604245,1.813718E-14
